,Name,Age,Total Pull Requests,Total Releases,Updated,Primary Language,Closed Issues,Total Issues
350,GokuMohandas/MadeWithML,1217,140,0,29.0,Jupyter Notebook,32,32
351,dkhamsing/open-source-ios-apps,2596,687,36,27.0,Swift,231,232
352,iina/iina,1903,387,38,230.0,Swift,1684,2929
353,google/zx,305,45,32,49.0,JavaScript,188,195
354,supabase/supabase,876,1349,18,36.0,TypeScript,854,1055
355,microsoft/ML-For-Beginners,368,301,0,44.0,Jupyter Notebook,120,121
356,skylot/jadx,3275,310,18,232.0,Java,828,1029
357,SheetJS/sheetjs,3380,99,0,79.0,JavaScript,2098,2160
358,zxing/zxing,3798,195,27,962.0,Java,1138,1144
359,foundation/foundation-sites,3797,2937,75,535.0,HTML,8098,8126
360,brillout/awesome-react-components,2081,246,0,181.0,None,40,41
361,formulahendry/955.WLB,1075,16,0,126.0,None,68,229
362,gorhill/uBlock,2531,196,236,164.0,JavaScript,3416,3451
363,joshbuchea/HEAD,2146,86,0,663.0,None,73,85
364,vuejs/vue-cli,2262,1246,166,217.0,JavaScript,4409,5196
365,unknwon/the-way-to-go_ZH_CN,3269,571,0,300.0,Go,0,0
366,nlohmann/json,3167,516,40,93.0,C++,1932,1965
367,lukehoban/es6features,2925,41,0,485.0,None,36,55
368,ariya/phantomjs,4087,562,0,631.0,C++,4721,4736
369,certbot/certbot,2671,3415,27,22.0,Python,4441,4967
370,go-gitea/gitea,1951,8972,139,110.0,Go,6853,8663
371,netty/netty,4135,2386,0,311.0,Java,5276,5742
372,bayandin/awesome-awesomeness,2798,195,0,90.0,Ruby,49,61
373,google/leveldb,2748,56,21,109.0,C++,511,660
374,alibaba/arthas,1285,383,39,240.0,Java,1292,1464
375,laurent22/joplin,1875,1289,255,32.0,TypeScript,4069,4378
376,FFmpeg/FFmpeg,3979,16,11,373.0,C,0,0
377,microsoft/monaco-editor,2098,152,0,3.0,JavaScript,2104,2714
378,CSSEGISandData/COVID-19,761,1407,0,66.0,None,1874,3454
379,streamich/react-use,1226,1465,247,299.0,TypeScript,210,466
380,chubin/cheat.sh,1764,121,0,147.0,Python,103,193
381,satwikkansal/wtfpython,1651,89,2,121.0,Python,112,156
382,react-boilerplate/react-boilerplate,2573,715,16,185.0,JavaScript,1813,1870
383,date-fns/date-fns,2708,995,101,36.0,TypeScript,1081,1367
384,jeecgboot/jeecg-boot,1196,12,17,222.0,Java,2899,2919
385,jgraph/drawio,2007,31,640,111.0,JavaScript,2066,2287
386,koalaman/shellcheck,3396,247,27,200.0,Haskell,1395,2133
387,fxsjy/jieba,3445,96,9,218.0,Python,209,793
388,vuejs/core,1363,1659,116,139.0,TypeScript,2373,2697
389,freeCodeCamp/devdocs,3055,415,0,425.0,Ruby,881,978
390,jashkenas/backbone,4175,857,0,17.0,JavaScript,2350,2394
391,beego/beego,3658,1094,12,208.0,Go,3106,3124
392,tastejs/todomvc,3929,719,5,490.0,JavaScript,628,756
393,metabase/metabase,2589,8912,254,36.0,Clojure,8494,10572
394,codepath/android_guides,3182,10,0,358.0,None,216,371
395,shengxinjing/programmer-job-blacklist,2080,16,0,389.0,Shell,178,322
396,poteto/hiring-without-whiteboards,1817,1062,0,54.0,JavaScript,0,0
397,gto76/python-cheatsheet,1501,13,0,71.0,Python,35,40
398,mathiasbynens/dotfiles,3835,44,0,486.0,Shell,238,370
399,cli/cli,885,1208,89,32.0,Go,2163,2510
400,caolan/async,4296,453,7,175.0,JavaScript,1092,1097
401,dotnet/aspnetcore,2917,10415,136,74.0,C#,22857,25122
402,typeorm/typeorm,2197,1573,11,254.0,TypeScript,5110,6554
403,aosabook/500lines,3044,175,0,192.0,JavaScript,39,68
404,vuejs/vuex,2425,651,51,133.0,JavaScript,1131,1209
405,kenwheeler/slick,2904,235,48,460.0,JavaScript,2357,3486
406,Homebrew/legacy-homebrew,4673,222,0,35.0,None,17037,17037
407,square/leakcanary,2503,780,29,224.0,Kotlin,1302,1389
408,LeCoupa/awesome-cheatsheets,1578,149,0,51.0,JavaScript,39,54
409,excalidraw/excalidraw,794,2394,3,207.0,TypeScript,1248,1741
410,ityouknow/spring-boot-examples,1947,7,0,284.0,Java,97,105
411,vlang/v,1122,6565,90,29.0,V,4769,5477
412,markedjs/marked,3878,756,68,104.0,JavaScript,1175,1222
413,go-gorm/gorm,3054,492,2,264.0,Go,4192,4237
414,jgraph/drawio-desktop,1746,16,85,10.0,Shell,707,805
415,sorrycc/awesome-javascript,2805,342,0,65.0,None,75,77
416,alibaba/p3c,1717,62,0,272.0,Kotlin,682,754
417,mastodon/mastodon,2204,9460,161,240.0,Ruby,4466,6473
418,openai/gym,2139,789,10,75.0,Python,1406,1499
419,standard/standard,2595,384,3,100.0,JavaScript,1100,1174
420,junegunn/vim-plug,3099,161,5,261.0,Vim script,830,906
421,crossoverJie/JCSprout,1540,69,0,254.0,Java,59,89
422,ReactiveX/rxjs,2548,2378,0,423.0,TypeScript,2797,2992
423,symfony/symfony,4444,18174,353,53.0,PHP,16593,17122
424,rapid7/metasploit-framework,3841,9014,0,122.0,Ruby,4519,4994
425,react-hook-form/react-hook-form,1097,1574,456,14.0,TypeScript,3003,3003
426,amix/vimrc,3568,89,0,69.0,Vim script,453,478
427,Fndroid/clash_for_windows_pkg,1235,2,156,136.0,None,2398,2498
428,laravel/framework,3342,12093,488,29.0,PHP,15784,15789
429,vim/vim,2392,3,0,10.0,Vim script,4916,6014
430,elsewhencode/project-guidelines,1710,110,0,65.0,JavaScript,28,37
431,apolloconfig/apollo,2193,1153,34,415.0,Java,2609,2725
432,atlassian/react-beautiful-dnd,1670,521,67,13.0,JavaScript,998,1443
433,fzaninotto/Faker,3796,824,12,140.0,PHP,494,570
434,airbnb/lottie-web,2571,97,0,200.0,JavaScript,1774,2549
435,jashkenas/underscore,4515,730,0,88.0,JavaScript,1367,1399
436,2dust/v2rayN,950,43,90,139.0,C#,1841,1861
437,pyenv/pyenv,3474,620,54,22.0,Roff,1367,1406
438,composer/composer,3924,2429,138,569.0,PHP,6783,6950
439,ziadoz/awesome-php,3022,379,0,234.0,None,117,120
440,mitmproxy/mitmproxy,4401,1809,43,488.0,Python,2508,2763
441,Tencent/weui,2635,178,28,772.0,HTML,604,645
442,jesseduffield/lazygit,1387,668,134,116.0,Go,666,946
443,hasura/graphql-engine,1357,2103,120,349.0,Haskell,3081,4672
444,mqyqingfeng/Blog,1819,3,0,331.0,None,94,263
445,houshanren/hangzhou_house_knowledge,1471,6,0,399.0,CSS,0,0
446,raywenderlich/swift-algorithm-club,2231,608,0,95.0,Swift,180,206
447,webtorrent/webtorrent,3064,547,53,202.0,JavaScript,1392,1491
448,romkatv/powerlevel10k,1106,103,29,77.0,Shell,1623,1640
449,postcss/postcss,3085,671,219,88.0,TypeScript,845,857
450,psf/black,1453,868,19,5.0,Python,1553,1849
451,IanLunn/Hover,2985,22,10,250.0,CSS,82,102
452,sequelize/sequelize,4245,3079,395,170.0,JavaScript,8825,9612
453,tannerlinsley/react-query,908,826,324,23.0,TypeScript,854,873
454,typicode/husky,2813,180,56,123.0,JavaScript,797,806
455,sentsin/layui,2357,32,48,436.0,JavaScript,125,758
456,JakeWharton/butterknife,3288,346,0,1370.0,Java,1074,1169
457,ZuzooVn/machine-learning-for-software-engineers,1974,57,0,29.0,None,3,19
458,aria2/aria2,4117,195,23,39.0,C++,734,1586
459,naptha/tesseract.js,2447,83,33,415.0,JavaScript,373,478
460,lib-pku/libpku,1200,22,0,338.0,TeX,30,36
461,herrbischoff/awesome-macos-command-line,2357,104,0,325.0,None,0,0
462,nvie/gitflow,4428,36,0,197.0,Shell,123,349
463,acmesh-official/acme.sh,2262,1082,35,185.0,Shell,1620,2319
464,denysdovhan/wtfjs,1696,83,17,101.0,JavaScript,85,90
465,QSCTech/zju-icicles,2077,135,0,254.0,HTML,40,46
466,niklasvh/html2canvas,3886,186,45,816.0,TypeScript,1620,2330
467,spf13/cobra,3106,414,15,4.0,Go,645,850
468,VincentGarreau/particles.js,2738,21,6,403.0,JavaScript,89,377
469,request/request,4060,650,0,579.0,JavaScript,2130,2218
470,google/googletest,2413,711,3,44.0,C++,1706,1887
471,rethinkdb/rethinkdb,3414,405,69,301.0,C++,4949,6348
472,proxyee-down-org/proxyee-down,1593,16,49,1001.0,Java,0,0
473,angular/angular-cli,2467,6999,474,355.0,TypeScript,13299,13534
474,select2/select2,3654,688,29,148.0,JavaScript,4622,4686
475,tabler/tabler,1494,226,31,122.0,HTML,469,534
476,github/fetch,2701,146,38,431.0,JavaScript,570,585
477,alibaba/druid,3776,935,43,233.0,Java,1322,3476
478,Modernizr/Modernizr,4545,786,25,89.0,JavaScript,1307,1468
479,docker/compose,3009,2186,161,208.0,Go,5419,6075
480,hankcs/HanLP,2705,69,56,236.0,Python,1315,1318
481,Advanced-Frontend/Daily-Interview-Question,1142,15,0,448.0,JavaScript,291,535
482,danielgindi/Charts,2543,388,33,67.0,Swift,3216,3957
483,apache/airflow,2519,11158,44,79.0,Python,4271,5031
