,Name,Age,Total Pull Requests,Total Releases,Updated,Primary Language,Closed Issues,Total Issues
953,Micropoor/Micro8,1112,2,0,20.0,None,31,45
954,mojs/mojs,2810,44,22,299.0,CoffeeScript,151,185
955,nushell/nushell,1031,2462,47,13.0,Rust,1706,2008
956,svg/svgo,3483,380,50,661.0,JavaScript,901,1079
957,sdras/awesome-actions,1236,435,0,301.0,None,24,37
958,apollographql/apollo-client,2200,3890,8,117.0,TypeScript,3673,4171
959,npm/npm,4541,439,261,145.0,None,16502,18669
960,ossrs/srs,2503,202,37,163.0,C++,835,1003
961,uikit/uikit,3153,200,218,8.0,HTML,3303,3990
962,HelloZeroNet/ZeroNet,2610,388,22,254.0,JavaScript,1436,2131
963,BoostIO/BoostNote-Legacy,2191,1074,15,714.0,JavaScript,1900,2342
964,swoole/swoole-src,3515,1323,224,344.0,C++,2926,3007
965,google/flexbox-layout,2132,246,25,288.0,Kotlin,214,311
966,dotnet/core,2665,1398,157,173.0,Shell,4423,4783
967,crystal-lang/crystal,3386,4264,94,428.0,Crystal,5048,6202
968,typicode/lowdb,2895,65,24,762.0,JavaScript,395,395
969,valyala/fasthttp,2331,325,39,178.0,Go,712,759
970,facebook/flux,2786,201,4,199.0,JavaScript,232,239
971,GeekyAnts/NativeBase,2151,1245,160,163.0,TypeScript,2764,3022
972,react-dnd/react-dnd,2695,1376,137,14.0,TypeScript,1255,1536
973,arendst/Tasmota,1863,3581,92,6.0,C,8459,8466
974,TeamNewPipe/NewPipe,2376,1155,116,57.0,Java,5284,6303
975,nosir/cleave.js,2118,132,66,26.0,JavaScript,324,490
976,luong-komorebi/Awesome-Linux-Software,2038,402,0,388.0,Python,100,113
977,facebook/hhvm,4446,90,15,114.0,C++,5276,5872
978,rome/tools,745,1388,13,154.0,Rust,563,613
979,CarGuo/GSYVideoPlayer,1939,34,32,669.0,Java,3278,3294
980,iawia002/lux,1471,232,72,195.0,Go,451,783
981,refined-github/refined-github,2211,2156,69,3.0,TypeScript,2691,2847
982,dapr/dapr,991,1884,93,82.0,Go,1755,2005
983,lensapp/lens,1210,2270,160,77.0,TypeScript,1665,2342
984,elastic/kibana,3326,75782,78,73.0,TypeScript,33995,43091
985,microsoft/CNTK,2292,257,32,141.0,C++,2527,3280
986,julianshapiro/velocity,2888,54,18,421.0,JavaScript,772,814
987,pubkey/rxdb,1920,2791,102,15.0,TypeScript,528,529
988,alibaba/ice,1949,2663,71,170.0,TypeScript,2074,2217
989,chubin/wttr.in,2262,229,0,10.0,Python,276,453
990,jsdom/jsdom,4429,757,33,94.0,JavaScript,1649,2035
991,MLEveryday/100-Days-Of-ML-Code,1309,45,0,170.0,Jupyter Notebook,40,48
992,kdeldycke/awesome-falsehood,2005,77,0,170.0,None,22,24
993,pmndrs/react-three-fiber,1105,322,7,54.0,TypeScript,608,623
994,processing/p5.js,3295,1964,78,13.0,JavaScript,3024,3216
995,mysqljs/mysql,4238,109,0,170.0,JavaScript,1958,2132
996,checkcheckzz/system-design-interview,2849,26,0,35.0,None,6,12
997,reduxjs/redux-thunk,2428,59,14,170.0,TypeScript,201,201
998,junyanz/pytorch-CycleGAN-and-pix2pix,1783,75,0,170.0,Python,880,1249
999,facert/awesome-spider,1983,38,0,125.0,None,15,35
